PC1,PC2,PC3
131,14,62
70,72,116
54,-6,31
53,63,87
85,49,44
127,54,67
24,52,70
29,60,55
80,54,34
91,-13,62
118,11,52
66,17,31
140,68,54
116,9,37
5,29,39
74,85,58
50,95,52
23,72,62
21,47,85
108,-1,81
55,28,77
93,21,44
26,54,73
20,51,81
30,56,48
68,24,25
69,80,2
42,75,9
79,30,31
44,66,21
84,-20,80
63,68,36
61,73,20
49,37,32
132,67,54
2,43,61
62,33,21
40,46,50
47,84,51
112,34,74
56,76,30
59,81,76
21,73,52
43,47,75
117,49,56
16,58,56
143,105,26
23,31,52
46,56,31
36,75,69
85,36,49
7,45,57
38,57,12
14,30,21
61,66,69
47,61,14
38,74,32
33,29,8
79,50,56
12,76,66
124,83,49
7,54,56
88,38,39
31,75,87
18,61,66
13,82,76
108,19,61
40,93,57
72,42,56
27,76,78
-9,8,72
64,70,73
39,29,52
73,65,55
3,76,60
50,57,85
97,37,29
83,18,46
26,60,27
19,-1,47
-5,51,64
76,-14,76
81,21,20
13,12,27
92,84,66
19,24,41
21,35,61
94,88,12
93,-19,72
42,53,19
82,68,42
32,-6,39
57,69,54
86,-41,76
101,66,68
11,73,41
37,47,81
37,74,55
18,64,81
47,84,56
115,-28,87
33,80,22
11,66,67
4,61,78
9,45,55
71,30,49
21,78,80
32,81,30
13,77,58
35,-5,52
35,49,60
73,87,50
33,74,56
15,43,53
30,108,73
40,39,42
64,95,62
50,62,67
85,80,99
54,66,34
10,24,29
24,6,86
44,54,102
9,72,80
42,80,67
48,50,37
80,28,79
25,31,5
13,57,68
-7,43,81
5,24,52
102,53,50
65,43,57
75,76,68
13,47,54
23,82,53
137,55,49
11,61,69
54,54,34
63,75,102
38,82,30
35,74,28
36,89,36
29,85,56
33,99,46
79,26,49
40,72,91
19,91,61
25,62,70
22,50,36
38,64,97
17,84,42
15,68,64
27,48,28
28,83,88
83,26,41
4,55,69
36,59,60
145,76,42
41,64,103
64,35,19
21,58,31
39,75,61
123,16,57
48,55,79
11,59,82
33,58,47
-3,36,72
74,50,26
-13,33,73
95,76,55
1,54,87
45,71,57
117,39,48
57,87,24
58,97,69
87,60,61
2,59,85
-2,13,56
8,60,79
104,26,46
30,43,39
5,73,86
11,50,68
8,19,46
75,36,51
46,22,24
13,67,67
26,64,69
22,69,87
29,97,60
24,70,87
9,68,73
32,5,53
31,72,59
29,71,80
50,56,71
50,38,63
32,67,19
12,54,44
42,57,54
64,87,42
56,41,63
18,27,9
28,76,73
0,-8,62
70,80,53
82,55,88
8,55,56
72,93,81
15,51,68
2,13,64
40,48,81
10,68,74
78,11,59
24,55,71
36,36,54
105,24,62
24,64,83
95,-24,48
38,80,82
41,72,77
20,-12,109
39,66,101
79,80,34
19,-4,34
58,-4,46
6,41,42
-1,43,83
3,77,76
27,33,93
59,-14,38
8,61,85
8,69,85
-2,44,73
16,60,89
28,40,53
103,36,57
78,-28,62
31,54,41
34,74,65
53,78,48
41,88,29
-5,67,75
67,93,86
14,67,76
55,27,77
108,71,11
47,47,46
14,69,85
29,6,78
78,90,69
56,83,68
41,41,16
54,57,57
114,38,39
