Index,Title,Artist,Top Genre,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,dance pop,124.148,0.373,0.667,-9.389,0.0906,0.0823,169266,0.785,0.05
spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,July (feat. Leon Bridges),Noah Cyrus,dance pop,72.5,0.211,0.708,-9.603,0.131,0.362,152280,0.853,0.0424
spotify:track:0jZO7p0nBUi9VHedWUBS9l,The Night We Met (feat. Phoebe Bridgers),Lord Huron,indie folk,174.127,0.437,0.424,-8.588,0.664,0.131,208173,0.962,0.0355
spotify:track:52iLDrSoRtf9lcgFuLVfqE,Older,Sasha Sloan,electropop,64.002,0.292,0.681,-9.599,0.0974,0.162,191002,0.743,0.0483
spotify:track:63nJIngH6cMV70V5IUx3Ex,"always, i'll care",Jeremy Zucker,electropop,104.957,0.163,0.766,-15.975,0.107,0.634,146147,0.92,0.0573
spotify:track:1FBuBhNZ8dmjUBWR58UOQv,Tell Me Why I'm Waiting,Timmies,lo-fi chill,124.008,0.277,0.671,-11.185,0.0657,0.173,123891,0.8,0.0549
spotify:track:2BuJrxYKhYky20dQqTlobO,skeletons,keshi,chill r&b,80.021,0.265,0.719,-12.782,0.108,0.273,152480,0.296,0.0754
spotify:track:0ouTaNuDfXPLnXkKi4AYOO,I Got So High That I Saw Jesus,Noah Cyrus,dance pop,139.597,0.384,0.577,-11.897,0.0809,0.102,217714,0.314,0.0436
spotify:track:3CRtbOoAP82y0VbPO5j1ft,Too Sad To Cry,Sasha Sloan,electropop,120.483,0.27,0.515,-9.935,0.114,0.234,208987,0.842,0.0357
spotify:track:58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,pop,109.986,0.128,0.522,-18.717,0.0941,0.124,187932,0.894,0.0357
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,electropop,92.6,0.275,0.492,-13.4,0.101,0.18,251034,0.687,0.3
spotify:track:3atqfvHwNUtXwWhhhkVBm7,Cocaine,Pink Sweat$,bedroom soul,109.569,0.228,0.614,-12.336,0.106,0.146,131500,0.835,0.0316
spotify:track:57m2Kve0xnAgYVAPxMLKHS,tear myself apart,Tate McRae,dance pop,86.048,0.504,0.478,-6.91,0.119,0.309,168547,0.162,0.0305
spotify:track:46ydq5g3k17iLJs3qMDvO6,Hurts So Good,Astrid S,dance pop,120.039,0.609,0.675,-5.027,0.0957,0.378,208729,0.084,0.0586
spotify:track:6HRagoeRYMUbNny39cbMa9,Happy Times,Finding Hope,chill r&b,104.978,0.25,0.849,-12.02,0.106,0.559,186000,0.117,0.0357
spotify:track:2MvpHgDzl7skp1xowjCDiG,sometimes,Chelsea Cutler,electropop,168.521,0.127,0.466,-15.047,0.326,0.146,276080,0.889,0.042
spotify:track:6UKQqrX26fiwC6ab7Subn2,Broken Roots,Michl,,145.868,0.58,0.578,-6.895,0.289,0.249,226000,0.483,0.157
spotify:track:4CxFN5zON70B3VOPBYbd6P,you were good to me,Jeremy Zucker,electropop,102.128,0.0848,0.561,-15.099,0.112,0.206,219147,0.913,0.0404
spotify:track:5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic pop,119.949,0.443,0.618,-9.681,0.0829,0.167,198853,0.469,0.0526
spotify:track:1dCz8H2KRvwTsxehErPn8T,Sky Is Falling,Tarn PK,,150.181,0.275,0.525,-12.024,0.111,0.211,271100,0.929,0.0299
spotify:track:2itDFgcps8TPkkGdsKUlEJ,You Were Right,Beauvois,new french touch,100.003,0.27,0.662,-13.644,0.101,0.0561,340872,0.807,0.0334
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Sloan,electropop,74.953,0.327,0.629,-8.285,0.103,0.381,197732,0.761,0.029
spotify:track:47rks3vghBGi3B8q7ZIFkv,hungover & i miss u,gnash,electropop,128.003,0.418,0.926,-8.154,0.158,0.335,166667,0.37,0.0471
spotify:track:5HsSsEeP3hU9QSfHZrzbtA,3:00 AM,Finding Hope,chill r&b,81.991,0.147,0.55,-18.675,0.286,0.0346,201951,0.563,0.0404
spotify:track:6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,electropop,137.446,0.131,0.421,-18.435,0.109,0.12,291796,0.952,0.0382
spotify:track:0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,alternative r&b,88.964,0.479,0.515,-7.458,0.191,0.284,209274,0.544,0.0261
spotify:track:6r2JV75tE0vNgNCv4HKsBC,scared,Jeremy Zucker,electropop,108.418,0.075,0.583,-15.843,0.111,0.347,207520,0.933,0.0726
spotify:track:7xNY6t6QYIlHl7oFrhPGFP,I'm Broken,One Hope,,140.055,0.284,0.702,-13.053,0.118,0.214,185929,0.892,0.0468
spotify:track:4P3LBZjsWULnAS08KebYfW,Beautiful Thing,Grace VanderWaal,pop,164.191,0.156,0.502,-9.155,0.0864,0.352,224880,0.883,0.0556
spotify:track:2NeM9rfWo70KQej9GxeaoL,Where's My Love,SYML,indie cafe pop,103.94,0.358,0.608,-10.018,0.113,0.365,202010,0.854,0.0253
spotify:track:0gOz9JUXsaKVzLTSmFDtdo,A Soulmate Who Wasn’t Meant to Be,Jess Benko,,124.209,0.0274,0.571,-20.274,0.322,0.087,316556,0.948,0.0649
spotify:track:1tF7RL54zjHSy0N2qEQLDY,"I miss you, I’m sorry",Gracie Abrams,indie cafe pop,109.757,0.451,0.617,-6.096,0.128,0.161,167538,0.734,0.0481
spotify:track:1NNnmmBEaId0uoWfvtNd8F,I Can't Carry This Anymore,Anson Seabra,indie cafe pop,166.598,0.0873,0.451,-16.815,0.354,0.456,200000,0.907,0.063
spotify:track:1D5Q6r9sobQffIdW7T3pkc,From Me to Yours,George Holliday,,162.373,0.309,0.378,-13.616,0.131,0.441,240173,0.935,0.0826
spotify:track:5euWB8gFN7PcDXciIVdnwn,Through It All,Brent Mathews,,113.912,0.455,0.669,-10.159,0.107,0.229,206583,0.733,0.0473
spotify:track:4KlL5Bwlm4yHYxr0B2rHci,Heal,Tom Odell,neo mellow,72.255,0.179,0.444,-12.938,0.107,0.119,193080,0.952,0.0396
spotify:track:4dV4sXHnkt3dkZYApJZsC7,SAD GRL,Kersty Ryan,,155.002,0.676,0.673,-8.805,0.159,0.474,221419,0.14,0.0384
spotify:track:3UMmtLksme8ww29XrpkfGE,Wait for You,Nightengale,,155.962,0.418,0.626,-12.746,0.089,0.327,168339,0.579,0.0329
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,bedroom pop,102.078,0.425,0.357,-7.301,0.322,0.27,198040,0.584,0.0333
spotify:track:6FDBhWk8xddZfVdbO9q8S2,For a Reason,Natalie Taylor,,169.149,0.366,0.313,-8.491,0.106,0.153,193030,0.853,0.0471
spotify:track:2fmU1U3HMcgCp9NP8wQkJF,Homage,Galakuoi,,103.58,0.0544,0.444,-24.903,0.277,0.311,178448,0.932,0.0337
spotify:track:4O5YwBR50X5YXONSRO7su9,Don't You Forget Me,Rishi,,108.029,0.291,0.621,-12.6,0.106,0.235,205239,0.762,0.0275
spotify:track:6vJ6FR4WtlKSxe8lmh3F1C,Baby You're Worth It,Kina,pop,120.033,0.253,0.695,-15.884,0.105,0.264,130926,0.685,0.0461
spotify:track:4D5gKBKJNSFKlcT5TMWxA3,Indigo Dreaming,Tarn PK,,88.879,0.302,0.409,-10.549,0.116,0.174,200000,0.879,0.0436
spotify:track:2Iyfw8YfKruAagJwGc4G07,It's Ok,Tom Rosenthal,british singer-songwriter,148.191,0.111,0.561,-15.11,0.103,0.0607,191352,0.871,0.0324
spotify:track:6221R1A541fjomXvhcnbjy,December,TRIBE,,129.414,0.387,0.486,-11.092,0.135,0.124,256376,0.489,0.0427
spotify:track:43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,electropop,82.642,0.111,0.367,-14.084,0.0897,0.198,196077,0.978,0.0972
spotify:track:1sTtlEZeVeeEnxEztJNkYN,emily,Jeremy Zucker,electropop,156.02,0.249,0.551,-11.392,0.112,0.257,233747,0.68,0.06
spotify:track:2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,Billie Eilish,electropop,67.513,0.307,0.576,-12.732,0.0792,0.157,189613,0.807,0.0428
spotify:track:7gGBgh0bVxHPgZjA505bo9,Break My Heart Again,FINNEAS,electropop,144.069,0.151,0.402,-14.228,0.0941,0.489,238013,0.907,0.04
spotify:track:3N3W8ZX1bFJsiI8VJmdMbT,IL MIO AMICO (feat. Fabri Fibra),Madame,italian hip hop,109.961,0.881,0.669,-4.025,0.122,0.702,209045,0.0119,0.0584
